"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2010 AN2)",1.679,0.4993,8.47,291.07,270.91,0.841,2.52,2.18,4951,0,73,,,22.19
"       (2010 AE30)",1.268,0.4168,5.97,279.36,278.42,0.739,1.80,1.43,3678,0,88,,,23.60
"       (2010 AJ30)",0.8113,0.3024,7.57,303.36,350.83,0.566,1.06,0.731,4059,0,117,,,22.70
"       (2010 AG40)",1.754,0.6090,2.02,21.54,183.89,0.686,2.82,2.32,2550,0,83,,,22.01
"       (2010 AG79)",2.897,0.5818,33.03,50.17,13.83,1.211,4.58,4.93,3598,0,181,,,20.04
"       (2010 BC)",1.935,0.5703,9.55,120.74,60.94,0.831,3.04,2.69,10,7,150,,,22.20
"       (2010 BH2)",2.353,0.4613,24.58,108.08,45.82,1.268,3.44,3.61,4152,0,111,,,19.61
"       (2010 CK1)",1.146,0.2153,27.27,141.46,77.89,0.900,1.39,1.23,10,8,38,,,24.00
"       (2010 CH18)",2.603,0.5722,27.18,49.17,109.89,1.114,4.09,4.2,1369,1,134,,,18.98
"       (2010 CC19)",1.1,0.7513,46.17,144.18,138.39,0.274,1.93,1.15,7,9,47,,,22.46
"       (2010 CN44)",2.867,0.6713,3.86,188.73,304.00,0.943,4.79,4.86,1943,0,104,,,19.72
"       (2010 CO44)",1.07,0.2307,6.18,327.43,73.82,0.823,1.32,1.11,18,6,36,,,24.60
"       (2010 CA55)",2.337,0.7131,55.03,106.63,302.79,0.671,4.00,3.57,31,8,69,,,22.20
"       (2010 CB55)",1.133,0.1480,25.92,144.60,108.49,0.966,1.30,1.21,4370,0,96,,,22.69
"       (2010 CC55)",1.546,0.4689,6.78,70.55,18.25,0.821,2.27,1.92,820,1,41,,,22.44
"       (2010 CD55)",1.024,0.2013,5.93,326.79,279.38,0.818,1.23,1.04,1711,2,62,,,23.36
"       (2010 CF55)",1.9,0.7612,5.15,311.51,321.84,0.454,3.35,2.62,31,8,22,,,21.68
"       (2010 CP140)",1.9,0.5384,14.47,271.77,189.96,0.877,2.92,2.62,4794,0,88,,,19.44
"       (2010 CN141)",1.517,0.3993,23.80,37.87,22.05,0.911,2.12,1.87,50,7,19,,,22.40
"       (2010 CJ171)",1.996,0.4910,7.38,147.18,99.80,1.016,2.98,2.82,5104,0,157,,,21.08
"       (2010 DL)",1.353,0.3138,2.57,333.65,113.68,0.928,1.78,1.57,3,8,14,,,27.00
"       (2010 DO)",1.613,0.7456,11.95,154.24,117.05,0.410,2.82,2.05,5364,0,66,,,21.66
"       (2010 DX1)",2.593,0.7048,20.25,333.34,102.43,0.765,4.42,4.18,35,6,79,,,21.61
"       (2010 DM21)",2.862,0.6574,21.15,178.00,263.20,0.980,4.74,4.84,1962,0,77,,,20.26
"       (2010 DK34)",2.779,0.7653,27.41,91.11,164.08,0.652,4.91,4.63,32,9,18,,,20.40
"       (2010 DH56)",2.236,0.5677,33.66,285.70,267.02,0.967,3.50,3.34,116,4,35,,,20.31
"       (2010 DH77)",3.267,0.7084,34.33,305.23,236.58,0.953,5.58,5.91,2187,0,48,,,21.06
"       (2010 DJ77)",0.9545,0.2106,24.75,286.71,103.79,0.753,1.16,0.933,5610,1,56,,,21.59
"       (2010 ES4)",1.534,0.1702,25.13,102.88,184.99,1.273,1.79,1.9,2,9,11,,,
"       (2010 EX11)",0.9562,0.1096,9.75,3.91,42.81,0.851,1.06,0.935,5159,1,145,,,24.11
"       (2010 EG21)",0.8441,0.2266,9.70,168.55,186.42,0.653,1.04,0.776,14,7,50,,,24.50
"       (2010 EC43)",2.43,0.6041,0.78,344.28,225.61,0.962,3.90,3.79,25,8,35,,,23.00
"       (2010 EK43)",1.398,0.6536,7.88,18.38,38.61,0.484,2.31,1.65,1849,1,55,,,21.67
"       (2010 FC)",1.33,0.2402,7.04,155.73,62.47,1.010,1.65,1.53,120,6,57,,,24.00
"       (2010 FK)",0.9401,0.0973,12.67,173.43,166.12,0.849,1.03,0.911,10,6,83,,,23.80
"       (2010 FQ)",1.527,0.3563,10.56,140.42,359.53,0.983,2.07,1.89,5601,0,292,,,19.99
"       (2010 FS)",0.78,0.3175,9.12,169.74,206.30,0.532,1.03,0.689,13,8,42,,,24.20
"       (2010 FT)",1.09,0.1946,5.60,13.77,246.22,0.878,1.30,1.14,8,7,34,,,25.70
"       (2010 FD6)",1.446,0.4352,0.46,152.04,314.57,0.817,2.08,1.74,7,8,20,,,26.80
"       (2010 FD7)",2.569,0.6944,6.21,352.20,274.78,0.785,4.35,4.12,28,7,51,,,22.10
"       (2010 FE7)",1.949,0.5532,1.55,57.19,43.22,0.871,3.03,2.72,54,7,33,,,23.80
"       (2010 FF8)",1.763,0.2703,27.29,259.97,48.04,1.286,2.24,2.34,1,9,16,,,16.59
"       (2010 FR9)",1.579,0.3813,5.71,2.26,214.27,0.977,2.18,1.98,7,7,43,,,26.10
"       (2010 FW9)",1.642,0.4326,3.77,4.23,220.60,0.931,2.35,2.1,6,8,27,,,26.70
"       (2010 FX9)",1.131,0.3670,3.77,9.82,75.38,0.716,1.55,1.2,4390,0,100,,,24.06
"       (2010 FF10)",2.38,0.6317,5.08,166.08,105.34,0.877,3.88,3.67,4061,0,196,,,21.80
"       (2010 FX80)",2.169,0.4540,36.97,129.19,88.92,1.184,3.15,3.19,4723,0,38,,,20.30
"       (2010 FY80)",2.693,0.6126,18.81,164.42,45.76,1.043,4.34,4.42,3433,0,124,,,19.56
"       (2010 FZ80)",2.751,0.7441,27.34,267.76,347.38,0.704,4.80,4.56,220,5,38,,,20.33
"       (2010 FA81)",1.195,0.1519,15.48,47.78,140.84,1.014,1.38,1.31,4670,0,171,,,22.42
"       (2010 FB81)",2.567,0.6090,9.46,90.69,46.55,1.004,4.13,4.11,118,5,47,,,21.36
"       (2010 FC81)",2.677,0.6232,1.68,144.31,63.60,1.009,4.35,4.38,4900,0,193,,,21.91
"       (2010 FG81)",1.658,0.3930,7.97,344.07,191.41,1.006,2.31,2.14,5470,0,120,,,23.05
"       (2010 FJ81)",3.609,0.6817,42.42,97.33,171.77,1.149,6.07,6.86,176,6,132,,,20.48
"       (2010 FO92)",2.144,0.5194,6.76,163.85,125.04,1.030,3.26,3.14,1095,1,215,,,20.05
"       (2010 GZ5)",1.435,0.5859,6.12,186.48,123.02,0.594,2.28,1.72,4405,0,76,,,22.96
"       (2010 GB6)",0.8821,0.2449,35.31,195.13,187.96,0.666,1.10,0.828,5484,1,90,,,22.07
"       (2010 GT6)",1.495,0.5920,10.07,8.15,303.48,0.610,2.38,1.83,4029,0,97,,,21.40
"       (2010 GU6)",2.695,0.6799,10.13,191.27,88.99,0.863,4.53,4.43,30,7,160,,,20.69
"       (2010 GA7)",0.9126,0.3891,30.00,21.50,25.51,0.557,1.27,0.872,5139,0,190,,,21.27
"       (2010 GH7)",1.4,0.2997,3.52,191.83,335.83,0.981,1.82,1.66,16,6,70,,,27.35
"       (2010 GS7)",2.696,0.6578,9.10,190.71,57.21,0.923,4.47,4.43,3344,0,255,,,21.51
"       (2010 GT7)",2.733,0.6784,8.43,65.07,68.80,0.879,4.59,4.52,3203,0,348,2,0,20.19
"       (2010 GU21)",2.18,0.5639,3.16,56.98,201.60,0.951,3.41,3.22,206,2,446,3,2,21.14
"       (2010 GK23)",2.749,0.6828,35.00,141.53,342.80,0.872,4.63,4.56,8,9,48,,,19.70
"       (2010 GL23)",1.155,0.3658,7.20,214.09,237.75,0.733,1.58,1.24,26,7,43,,,22.80
"       (2010 GX23)",1.483,0.4512,1.91,116.66,6.07,0.814,2.15,1.81,38,7,67,,,23.00
"       (2010 GF25)",1.422,0.7366,38.50,323.32,339.26,0.374,2.47,1.69,5440,0,67,,,19.30
"       (2010 GO33)",2.41,0.6981,19.12,143.59,153.56,0.728,4.09,3.74,5501,0,184,,,19.27
"       (2010 GP67)",1.114,0.1074,13.27,211.42,44.72,0.995,1.23,1.18,2752,0,80,,,22.36
"       (2010 GQ75)",2.443,0.8603,43.30,82.41,353.36,0.341,4.54,3.82,34,7,27,,,20.20
"       (2010 GV147)",0.9588,0.6602,44.05,295.08,97.90,0.326,1.59,0.939,4699,1,89,,,18.27
"       (2010 HA)",0.9599,0.1958,2.18,251.12,186.12,0.772,1.15,0.94,461,3,62,,,23.90
"       (2010 HC)",2.126,0.5229,6.87,20.45,246.86,1.015,3.24,3.1,165,4,102,,,21.30
"       (2010 HV20)",2.611,0.7883,6.45,99.04,216.27,0.553,4.67,4.22,8,9,80,,,21.93
"       (2010 HD33)",2.62,0.5149,24.41,165.03,50.37,1.271,3.97,4.24,4894,0,116,,,18.33
"       (2010 HW81)",1.261,0.7544,13.48,228.63,95.34,0.310,2.21,1.42,5367,1,41,,,20.26
"       (2010 HZ104)",2.251,0.5659,20.23,77.43,165.53,0.977,3.53,3.38,23,7,18,,,22.50
"       (2010 HX107)",0.8014,0.3004,3.36,51.56,352.97,0.561,1.04,0.717,1830,1,36,,,23.54
"       (2010 JE)",2.784,0.6560,13.81,229.91,65.57,0.958,4.61,4.65,5303,0,116,,,20.27
"       (2010 JG)",1.19,0.3198,23.31,49.72,292.02,0.810,1.57,1.3,4763,0,226,1,1,20.95
"       (2010 JH3)",1.759,0.4708,19.78,47.37,226.27,0.931,2.59,2.33,6,8,32,,,25.31
"       (2010 JJ3)",2.23,0.5804,2.43,234.12,298.17,0.936,3.52,3.33,3670,0,101,,,23.70
"       (2010 JK33)",2.231,0.6110,4.04,28.46,289.91,0.868,3.59,3.33,3854,0,139,,,21.03
"       (2010 JN33)",1.555,0.2878,53.14,199.90,64.84,1.107,2.00,1.94,2346,1,45,,,20.50
"       (2010 JV34)",1.723,0.5445,7.21,225.29,87.04,0.785,2.66,2.26,3442,0,357,,,20.85
"       (2010 JA35)",2.159,0.5763,29.02,48.37,278.00,0.915,3.40,3.17,1130,1,88,,,20.49
"       (2010 JW39)",1.637,0.3902,3.00,157.74,36.87,0.998,2.28,2.1,27,7,24,,,24.63
"       (2010 JL41)",1.727,0.6658,7.57,166.74,164.96,0.577,2.88,2.27,3276,1,86,,,20.64
"       (2010 JN71)",2.381,0.5903,17.74,62.40,185.58,0.976,3.79,3.67,4002,0,137,2,1,21.42
"       (2010 JO71)",1.172,0.3867,6.01,219.80,119.19,0.719,1.62,1.27,17,7,66,,,23.98
"       (2010 JF87)",2.437,0.6205,24.92,138.94,12.06,0.925,3.95,3.8,3077,0,82,,,19.12
"       (2010 JG87)",2.77,0.9467,16.75,204.48,269.44,0.148,5.39,4.61,3341,0,94,,,19.20
"       (2010 JH87)",1.537,0.5402,43.76,113.06,222.79,0.707,2.37,1.91,743,1,81,,,19.50
"       (2010 KH)",2.767,0.5477,14.57,85.19,273.56,1.251,4.28,4.6,3482,0,96,,,19.48
"       (2010 KU7)",1.665,0.3812,6.75,39.37,216.08,1.030,2.30,2.15,40,6,26,,,22.24
"       (2010 KV7)",1.214,0.2185,0.31,255.92,36.86,0.949,1.48,1.34,3,8,13,,,26.00
"       (2010 KA8)",1.62,0.4339,10.12,246.31,277.28,0.917,2.32,2.06,48,6,66,,,21.40
"       (2010 KP10)",1.132,0.1662,16.20,233.29,276.43,0.944,1.32,1.2,4421,0,136,,,23.10
"       (2010 KY39)",1.74,0.3986,25.51,187.55,93.37,1.047,2.43,2.3,5294,0,105,,,20.11
"       (2010 KB61)",1.275,0.2339,44.59,55.93,234.97,0.977,1.57,1.44,4953,0,164,,,20.41
"       (2010 KK127)",2.229,0.4258,6.97,182.34,158.06,1.280,3.18,3.33,3805,0,92,,,20.70
"       (2010 KD149)",0.8889,0.2118,14.23,324.42,131.06,0.701,1.08,0.838,1955,1,50,,,21.48
"       (2010 LH14)",2.198,0.5763,4.66,206.84,80.96,0.931,3.46,3.26,4921,0,143,,,22.08
"       (2010 LQ33)",2.269,0.4597,24.65,246.22,342.85,1.226,3.31,3.42,5132,0,127,,,19.56
"       (2010 LK34)",1.829,0.8073,5.32,130.06,249.31,0.352,3.30,2.47,4652,0,163,,,21.91
"       (2010 LJ61)",1.046,0.4595,9.80,70.83,48.37,0.565,1.53,1.07,5472,0,103,,,21.00
"       (2010 LK61)",1.667,0.5781,22.73,231.04,298.44,0.703,2.63,2.15,47,6,48,,,21.79
"       (2010 LZ63)",1.89,0.7609,13.87,306.98,79.58,0.452,3.33,2.6,4758,0,34,,,20.20
"       (2010 LB64)",1.353,0.2153,51.68,85.67,197.46,1.062,1.64,1.57,4023,0,198,,,21.76
"       (2010 LG64)",2.678,0.6049,42.10,8.69,356.12,1.058,4.30,4.38,4973,0,161,,,20.23
"       (2010 LJ68)",1.769,0.4530,17.11,164.19,36.97,0.967,2.57,2.35,7,9,23,,,22.70
"       (2010 LK68)",1.169,0.4736,21.92,268.62,261.65,0.615,1.72,1.26,4,9,13,,,22.42
"       (2010 LL68)",2.071,0.5247,10.49,192.31,98.78,0.984,3.16,2.98,142,5,38,,,22.88
"       (2010 LO97)",2.577,0.5284,21.70,43.48,3.64,1.215,3.94,4.14,2103,0,250,,,18.76
"       (2010 LU108)",2.229,0.8231,9.46,154.03,22.62,0.394,4.06,3.33,3691,0,114,,,19.95
"       (2010 LV108)",2.777,0.6359,5.41,248.59,350.88,1.011,4.54,4.63,123,5,24,,,22.36
"       (2010 LU134)",1.897,0.5457,27.36,345.72,359.40,0.862,2.93,2.61,4714,0,44,,,19.31
"       (2010 MG1)",1.972,0.5066,6.55,263.34,49.86,0.973,2.97,2.77,18,8,33,,,23.34
"       (2010 MP1)",0.8552,0.4873,22.64,93.05,32.39,0.438,1.27,0.791,5495,0,134,,,21.50
"       (2010 MY1)",1.215,0.2114,9.70,102.41,218.92,0.958,1.47,1.34,7,7,54,,,23.88
"       (2010 MU111)",2.387,0.6146,41.64,79.96,157.14,0.920,3.85,3.69,5678,0,80,,,18.41
"       (2010 MU112)",1.756,0.5398,48.04,261.10,119.21,0.808,2.70,2.33,3501,0,57,,,20.79
"       (2010 MY112)",1.072,0.2447,38.58,83.06,327.67,0.809,1.33,1.11,2,9,18,,,
"       (2010 MZ112)",1.227,0.5209,23.59,320.59,50.88,0.588,1.87,1.36,1,9,7,,,
"       (2010 MA113)",2.691,0.6683,41.06,309.75,25.88,0.893,4.49,4.41,241,4,46,,,21.92
"       (2010 NA)",1.723,0.6541,6.39,172.51,203.31,0.596,2.85,2.26,3287,0,110,,,20.70
"       (2010 NG1)",0.8493,0.3326,24.74,167.11,299.99,0.567,1.13,0.783,4075,0,127,,,20.29
"       (2010 NK1)",1.014,0.1837,14.76,277.17,262.97,0.828,1.20,1.02,417,2,126,,,22.41
"       (2010 NU1)",2.428,0.8007,34.63,105.09,42.41,0.484,4.37,3.78,9,9,21,,,21.10
"       (2010 NB2)",2.085,0.7609,28.69,240.74,292.39,0.499,3.67,3.01,3304,0,49,,,20.10
"       (2010 OC)",2.884,0.6334,12.74,324.89,28.52,1.057,4.71,4.9,3714,0,285,,,19.11
"       (2010 OA1)",1.758,0.4426,7.83,119.48,209.17,0.980,2.54,2.33,23,8,20,,,23.50
"       (2010 OP1)",2.778,0.6187,18.45,125.04,256.93,1.059,4.50,4.63,5310,0,169,,,19.16
"       (2010 OQ1)",2.146,0.5484,18.89,113.30,286.46,0.969,3.32,3.14,1302,0,122,,,19.09
"       (2010 OE22)",2.649,0.6290,14.22,173.35,82.83,0.983,4.31,4.31,61,6,44,,,21.23
"       (2010 OL100)",2.261,0.6538,22.21,225.71,148.20,0.783,3.74,3.4,3822,0,70,,,19.50
"       (2010 OC101)",1.222,0.2274,13.60,268.38,86.95,0.944,1.50,1.35,3087,0,142,,,20.70
"       (2010 OD101)",1.619,0.3581,15.39,185.04,102.83,1.039,2.20,2.06,2028,0,138,,,20.72
"       (2010 OF101)",0.951,0.3250,23.37,212.35,282.53,0.642,1.26,0.927,5551,0,236,,,19.78
"       (2010 OL101)",2.609,0.5989,26.13,169.39,104.03,1.047,4.17,4.21,132,4,61,,,20.40
"       (2010 ON101)",1.629,0.4093,9.31,251.57,8.15,0.962,2.30,2.08,3519,1,138,,,20.39
"       (2010 OH126)",1.889,0.4992,14.34,97.50,175.08,0.946,2.83,2.6,4793,0,34,,,21.30
"       (2010 OK126)",1.955,0.4462,52.58,338.26,321.03,1.083,2.83,2.73,4025,0,58,,,20.56
"       (2010 PK9)",0.6821,0.6759,12.59,306.51,195.65,0.221,1.14,0.563,4783,0,123,,,21.81
"       (2010 PU66)",1.486,0.3903,18.09,350.35,267.64,0.906,2.07,1.81,63,6,39,,,22.19
"       (2010 PY75)",2.658,0.7757,31.55,269.94,136.13,0.596,4.72,4.33,4753,0,98,,,18.50
"       (2010 QE2)",3.375,0.7392,64.68,2.05,32.91,0.880,5.87,6.2,2331,0,212,,,17.45
"       (2010 QG2)",1.667,0.5160,4.70,342.70,64.81,0.807,2.53,2.15,16,7,38,,,24.67
"       (2010 QA5)",2.918,0.6319,33.41,174.10,176.24,1.074,4.76,4.99,5499,0,156,,,22.16
"       (2010 TN4)",1.725,0.4349,3.03,16.91,324.42,0.974,2.47,2.26,7,8,23,,,27.50
"       (2010 TU149)",2.213,0.8249,1.96,58.87,92.67,0.387,4.04,3.29,4778,0,125,1,2,20.68
"       (2010 UY6)",2.65,0.6162,19.87,9.03,20.40,1.017,4.28,4.31,4919,0,247,,,20.11
"       (2010 UC7)",1.885,0.5677,5.18,224.39,236.68,0.815,2.96,2.59,21,8,46,,,24.68
"       (2010 UB8)",2.995,0.6174,31.13,73.36,324.48,1.146,4.84,5.18,2080,0,198,,,19.25
"       (2010 VZ)",2.446,0.5920,8.46,181.91,215.66,0.998,3.89,3.83,1541,0,109,,,19.31
"       (2010 VT11)",1.754,0.6117,2.48,249.33,65.78,0.681,2.83,2.32,5149,0,245,,,21.70
"       (2010 VZ71)",2.336,0.5404,22.66,59.79,262.15,1.074,3.60,3.57,5089,0,91,,,19.69
"       (2010 VD72)",0.9184,0.1813,19.20,224.06,310.30,0.752,1.08,0.88,5071,0,75,,,21.54
"       (2010 VK139)",0.7799,0.2822,26.96,233.34,8.33,0.560,1.00,0.689,4022,0,96,1,0,23.71
"       (2010 WB)",1.358,0.2881,5.50,230.99,150.36,0.967,1.75,1.58,49,6,107,,,24.10
"       (2010 WE9)",1.555,0.2494,42.13,295.47,132.52,1.167,1.94,1.94,3839,1,96,,,19.97
"       (2010 XP69)",1.523,0.3427,14.59,199.84,197.34,1.001,2.05,1.88,2370,1,55,,,20.75
"       (2010 XY82)",2.188,0.4896,26.78,132.97,297.37,1.117,3.26,3.24,4862,0,338,,,19.17
"       (2010 YD)",2.041,0.5383,0.44,94.44,39.50,0.942,3.14,2.92,10,7,44,,,26.60
"       (2010 YC1)",1.415,0.4131,17.66,32.72,358.42,0.830,2.00,1.68,1834,1,38,,,21.22
"       (2010 YD3)",2.586,0.5664,24.47,251.95,219.57,1.121,4.05,4.16,1506,1,136,,,19.68
"       (2011 AV55)",2.409,0.6059,17.71,299.86,145.12,0.950,3.87,3.74,14,8,40,,,23.50
"       (2011 BY24)",1.891,0.4919,13.96,189.82,325.28,0.961,2.82,2.6,4833,0,35,,,22.88
"       (2011 BN59)",3.054,0.6244,20.38,185.12,293.30,1.147,4.96,5.34,55,6,42,,,20.46
"       (2011 LA19)",2.913,0.6517,19.21,97.95,202.74,1.015,4.81,4.97,3750,0,298,,,19.17
"       (2011 QP96)",2.814,0.6378,7.20,128.19,320.40,1.019,4.61,4.72,3920,0,216,,,18.63
"       (2011 VR5)",2.507,0.5186,12.09,280.69,233.03,1.207,3.81,3.97,4530,0,231,,,18.09
"       (2011 YB40)",2.556,0.5933,32.73,93.29,315.17,1.039,4.07,4.09,4429,0,135,,,19.17
"       (2012 CC17)",1.621,0.3645,11.80,343.50,234.89,1.030,2.21,2.06,801,1,140,,,20.50
"       (2012 LZ1)",2.559,0.5894,26.09,264.49,14.33,1.051,4.07,4.09,3029,0,716,2,2,19.91
"       (2012 UR158)",2.232,0.8578,3.19,286.43,239.45,0.317,4.15,3.33,3679,0,139,,,20.67
"       (2012 XB112)",1.029,0.1446,1.32,76.89,88.87,0.880,1.18,1.04,3,3,78,0,1,29.90
"       (2013 WT44)",2.264,0.5656,12.21,182.65,325.87,0.983,3.54,3.41,3633,0,563,9,3,19.30
"       (2013 WU44)",1.516,0.3899,17.87,74.23,95.00,0.925,2.11,1.87,777,1,105,,,21.05
"       (2013 WT45)",1.63,0.4671,9.34,33.01,122.10,0.868,2.39,2.08,940,0,167,,,20.36
"       (2013 YP139)",2.399,0.6829,0.82,291.89,83.81,0.761,4.04,3.72,4231,0,44,,,21.17
"       (2014 AC)",3.241,0.6741,13.15,85.99,57.40,1.056,5.43,5.83,112,5,47,,,21.00
"       (2014 AG16)",1.66,0.4111,4.29,308.12,118.62,0.978,2.34,2.14,76,6,106,,,22.77
"       (2014 AA33)",2.882,0.6641,20.10,103.82,86.82,0.968,4.80,4.89,2010,0,231,,,19.28
"       (2014 AQ46)",2.417,0.5290,24.67,108.49,323.32,1.138,3.70,3.76,3978,0,99,,,19.73
"       (2014 AN51)",1.425,0.5570,9.92,339.05,14.26,0.631,2.22,1.7,1873,1,34,,,20.46
"       (2014 AA53)",2.369,0.6733,12.49,23.78,344.97,0.774,3.96,3.65,4004,0,82,,,19.40
"       (2014 BX2)",2.216,0.7605,2.25,135.75,100.04,0.531,3.90,3.3,50,6,40,,,21.89
"       (2014 BR8)",1.22,0.2391,17.14,304.76,114.36,0.928,1.51,1.35,1498,0,191,,,21.70
"       (2014 BH25)",2.66,0.6860,9.59,137.39,283.64,0.835,4.49,4.34,56,6,82,,,21.60
"       (2014 BG60)",2.99,0.6243,8.55,291.14,248.44,1.123,4.86,5.17,1811,1,361,,,19.42
"       (2014 BE63)",2.104,0.6436,8.57,182.02,359.52,0.750,3.46,3.05,14,9,14,,,23.20
"       (2014 CR)",2.141,0.5846,4.04,137.82,60.67,0.889,3.39,3.13,28,7,298,,,22.78
"       (2014 CY4)",2.655,0.8185,15.03,126.54,289.50,0.482,4.83,4.33,1589,1,33,,,20.34
"       (2014 CD13)",2.211,0.7546,6.89,331.86,285.01,0.543,3.88,3.29,1347,0,147,,,21.33
"       (2014 DC10)",2.836,0.6596,13.48,153.09,42.19,0.965,4.71,4.78,1956,0,128,,,19.98
"       (2014 EN45)",2.442,0.5659,14.00,295.18,232.36,1.060,3.82,3.82,58,7,112,,,20.94
"       (2014 EQ49)",1.148,0.2068,15.16,11.49,50.46,0.910,1.39,1.23,3713,0,102,,,21.70
"       (2014 ER49)",2.829,0.6405,13.68,100.24,160.25,1.017,4.64,4.76,2063,0,345,,,18.55
"       (2014 FD)",1.878,0.4804,6.19,178.42,27.78,0.976,2.78,2.57,6,7,82,,,25.50
"       (2014 GJ35)",1.516,0.6330,33.87,193.15,114.06,0.557,2.48,1.87,325,3,126,,,20.21
"       (2014 HE3)",3.267,0.7261,6.36,22.62,287.33,0.895,5.64,5.91,2396,0,176,,,20.01
"       (2014 HG4)",2.768,0.7869,4.54,109.22,210.55,0.590,4.95,4.6,3559,0,194,,,19.95
"       (2014 HQ124)",0.8507,0.2593,26.37,257.53,144.57,0.630,1.07,0.785,4089,0,372,5,3,18.95
"       (2014 HJ129)",2.579,0.5656,8.44,241.15,264.71,1.120,4.04,4.14,1632,0,74,,,20.58
"       (2014 HF177)",2.281,0.5490,7.21,43.04,251.30,1.029,3.53,3.44,2780,0,227,,,19.79
"       (2014 JL25)",2.898,0.6562,15.75,70.09,172.10,0.997,4.80,4.93,38,2,57,7,5,22.65
"       (2014 JV55)",2.457,0.6919,41.44,59.76,106.33,0.757,4.16,3.85,225,4,41,,,20.10
"       (2014 JH57)",3.328,0.8756,25.71,54.43,11.99,0.414,6.24,6.07,4398,0,237,,,16.27
"       (2014 JN57)",1.243,0.1678,28.59,68.27,143.79,1.035,1.45,1.39,4049,0,105,,,20.68
"       (2014 KO76)",2.436,0.6135,9.47,57.46,134.47,0.941,3.93,3.8,19,8,31,,,23.90
"       (2014 KV86)",2.631,0.6417,25.59,130.97,37.22,0.943,4.32,4.27,1472,0,64,,,20.55
"       (2014 KX99)",2.819,0.5840,13.66,287.94,349.43,1.172,4.47,4.73,3222,0,102,,,18.01
"       (2014 LQ25)",2.023,0.6783,33.55,301.67,245.55,0.651,3.39,2.88,942,1,57,,,20.17
"       (2014 LR26)",3.13,0.6340,10.62,113.72,239.80,1.146,5.12,5.54,4073,0,100,,,18.64
"       (2014 MS5)",1.933,0.5591,2.51,75.90,267.26,0.852,3.01,2.69,3107,0,60,,,22.69
"       (2014 MF18)",0.8886,0.1595,2.73,100.41,351.94,0.747,1.03,0.838,1837,0,78,,,26.11
"       (2014 NK52)",2.21,0.8344,2.54,248.70,276.34,0.366,4.05,3.29,43,7,33,,,21.22
"       (2014 NC64)",2.182,0.6368,22.70,17.03,9.69,0.792,3.57,3.22,4814,0,42,,,19.99
"       (2014 NM64)",2.845,0.6282,28.95,302.83,8.50,1.058,4.63,4.8,47,5,75,,,21.60
"       (2014 OY1)",2.563,0.6334,23.09,76.06,187.29,0.940,4.19,4.1,2854,0,113,,,19.10
"       (2014 OZ1)",2.852,0.6010,21.34,137.03,113.27,1.138,4.57,4.82,37,7,42,,,21.00
"       (2014 PS59)",1.963,0.5455,14.14,162.47,222.90,0.892,3.03,2.75,4034,0,328,,,20.60
"       (2014 PW59)",2.408,0.7001,2.38,294.49,296.52,0.722,4.09,3.74,1478,1,98,,,20.90
"       (2014 PC68)",1.519,0.2848,40.68,161.60,152.86,1.087,1.95,1.87,3886,1,63,,,20.28
"       (2014 PF68)",2.858,0.5860,22.58,341.96,14.21,1.184,4.53,4.83,3815,0,276,,,18.05
"       (2014 QT295)",1.793,0.5273,0.83,221.45,180.00,0.848,2.74,2.4,15,8,22,,,25.90
"       (2014 QC433)",2.368,0.5287,14.53,165.72,115.78,1.116,3.62,3.64,5614,0,88,,,19.25
"       (2014 QK433)",2.994,0.5993,39.19,308.62,2.29,1.200,4.79,5.18,1922,0,163,,,18.42
"       (2014 QK434)",1.941,0.5033,5.98,252.25,166.16,0.964,2.92,2.7,4055,0,257,,,19.26
"       (2014 RH12)",2.18,0.5361,7.27,200.31,145.69,1.011,3.35,3.22,90,6,100,,,23.33
"       (2014 RL12)",2.761,0.6737,23.79,277.43,115.44,0.901,4.62,4.59,11763,0,325,,,17.96
"       (2014 SV141)",2.13,0.5238,7.82,158.40,141.93,1.014,3.25,3.11,982,1,73,,,21.60
"       (2014 SU260)",1.54,0.3756,26.76,174.76,229.22,0.961,2.12,1.91,682,0,50,,,21.80
"       (2014 TA36)",2.841,0.7065,6.13,228.94,256.49,0.834,4.85,4.79,221,4,100,,,20.69
"       (2014 TW57)",2.173,0.7377,6.74,256.18,237.37,0.570,3.78,3.2,2442,0,68,,,19.55
"       (2014 TJ64)",2.612,0.6036,14.77,143.20,236.45,1.035,4.19,4.22,141,4,105,,,20.62
"       (2014 US)",2.619,0.5890,27.03,228.34,237.51,1.076,4.16,4.24,1456,0,323,,,19.18
"       (2014 UG176)",2.798,0.7203,16.43,87.95,15.30,0.783,4.81,4.68,6,9,16,,,21.50
"       (2014 UF206)",2.422,0.5455,48.06,114.54,13.22,1.101,3.74,3.77,1458,1,283,2,1,18.60
"       (2014 UH210)",2.597,0.6588,22.10,151.68,162.15,0.886,4.31,4.19,25,9,23,,,20.61
"       (2014 VG2)",1.19,0.1970,8.60,80.36,44.69,0.955,1.42,1.3,1692,0,116,,,22.72
"       (2014 VP35)",1.466,0.3485,9.17,269.61,173.51,0.955,1.98,1.77,133,3,40,1,1,22.82
"       (2014 WL6)",2.261,0.6358,13.50,74.51,68.91,0.824,3.70,3.4,3630,0,201,,,20.08
